track_id,track_name,cup,grade
mario-kart-stadium,Mario Kart Stadium,Mushroom Cup,
water-park,Water Park,Mushroom Cup,A
sweet-sweet-canyon,Sweet Sweet Canyon,Mushroom Cup,A
thwomp-ruins,Thwomp Ruins,Mushroom Cup,
mario-circuit,Mario Circuit,Flower Cup,C
toad-harbor,Toad Harbor,Flower Cup,C-
twisted-mansion,Twisted Mansion,Flower Cup,C+
shy-guy-falls,Shy Guy Falls,Flower Cup,B-
sunshine-airport,Sunshine Airport,Star Cup,S
dolphin-shoals,Dolphin Shoals,Star Cup,B-
electrodrome,Electrodrome,Star Cup,A-
mount-wario,Mount Wario,Star Cup,B
cloudtop-cruise,Cloudtop Cruise,Special Cup,A
bone-dry-dunes,Bone-Dry Dunes,Special Cup,C+
bowsers-castle,Bowser's Castle,Special Cup,B-
rainbow-road,Rainbow Road,Special Cup,B+
wii-moo-moo-meadows,Wii Moo Moo Meadows,Shell Cup,C+
gba-mario-circuit,GBA Mario Circuit,Shell Cup,D-
ds-cheep-cheep-beach,DS Cheep Cheep Beach,Shell Cup,
n64-toads-turnpike,N64 Toad's Turnpike,Shell Cup,
gcn-dry-dry-desert,GCN Dry Dry Desert,Banana Cup,D
snes-donut-plains-3,SNES Donut Plains 3,Banana Cup,F
n64-royal-raceway,N64 Royal Raceway,Banana Cup,B
3ds-dk-jungle,3DS DK Jungle,Banana Cup,B
ds-wario-stadium,DS Wario Stadium,Leaf Cup,
gcn-sherbet-land,GCN Sherbet Land,Leaf Cup,D
3ds-music-park,3DS Music Park,Leaf Cup,B+
n64-yoshi-valley,N64 Yoshi Valley,Leaf Cup,
ds-tick-tock-clock,DS Tick-Tock Clock,Lightning Cup,A
3ds-piranha-plant-slide,3DS Piranha Plant Slide,Lightning Cup,B
wii-grumble-volcano,Wii Grumble Volcano,Lightning Cup,A-
n64-rainbow-road,N64 Rainbow Road,Lightning Cup,D
gcn-yoshi-circuit,GCN Yoshi Circuit,Egg Cup,C-
excitebike-arena,Excitebike Arena,Egg Cup,D
dragon-driftway,Dragon Driftway,Egg Cup,D
mute-city,Mute City,Egg Cup,
wii-warios-gold-mine,Wii Wario's Gold Mine,Triforce Cup,C
snes-rainbow-road,SNES Rainbow Road,Triforce Cup,F
ice-ice-outpost,Ice Ice Outpost,Triforce Cup,C-
hyrule-circuit,Hyrule Circuit,Triforce Cup,
gcn-baby-park,GCN Baby Park,Crossing Cup,D-
gba-cheese-land,GBA Cheese Land,Crossing Cup,B-
wild-woods,Wild Woods,Crossing Cup,B-
animal-crossing,Animal Crossing,Crossing Cup,B
3ds-neo-bowser-city,3DS Neo Bowser City,Bell Cup,B-
gba-ribbon-road,GBA Ribbon Road,Bell Cup,B
super-bell-subway,Super Bell Subway,Bell Cup,
big-blue,Big Blue,Bell Cup,C+
tour-paris-promenade,Tour Paris Promenade,Golden Dash Cup,C+
3ds-toad-circuit,3DS Toad Circuit,Golden Dash Cup,D+
n64-choco-mountain,N64 Choco Mountain,Golden Dash Cup,
wii-coconut-mall,Wii Coconut Mall,Golden Dash Cup,A+
tour-tokyo-blur,Tour Tokyo Blur,Lucky Cat Cup,D+
ds-shroom-ridge,DS Shroom Ridge,Lucky Cat Cup,
